"configuration","problem","model","data_file","status","time","flatBoolVars","flatIntConstraints","initTime","eliminatedImplications","evaluatedHalfReifiedConstraints","solutions","restarts","variables","peakDepth","propagations","flatBoolConstraints","method","run","objective","paths","flatIntVars","failures","nSolutions","nodes","propagators","solveTime","flatTime"
"Gecode_Decomp",".","jobshop_gini.mzn","new_dzn/mindis_ta50_2a_alloc3.dzn","OPTIMAL_SOLUTION","6.161888489499688","19908","23578","0.267787","1260","21138","10","0","22377","187","27801896","10560","minimize","results","0","0","2469","3666","10","8531","32877","3.70791","1.72739"
"Gecode_Decomp",".","jobshop_gini.mzn","new_dzn/mindis_ta59_3a_alloc2.dzn","SATISFIED","601.4968591555953","39955","44570","0.523118","1600","41505","31","0","43069","282","3433128814","20725","minimize","results","1","0","3114","362787","31","730922","63694","596.868","3.13487"
"Median_Gecode_BB",".","jobshop_gini.mzn","dzn/ta51_5a_alloc1.dzn","SATISFIED","601.6326156333089","39956","44566","0.52519","1600","41506","23","0","43066","219","2945066415","20725","minimize","results","-2933","0","3110","483580","23","968976","63690","596.819","3.18286"
"Median_Gecode_Decomp",".","jobshop_gini.mzn","dzn/ta72_10a_alloc1.dzn","OPTIMAL_SOLUTION","242.93281711637974","206561","218776","3.18241","4200","210661","116","0","214785","1290","274579106","105200","minimize","results","-9707","0","8224","13602","116","87827","319775","219.195","16.017199"
"Median_Gecode_BB",".","jobshop_gini.mzn","dzn/ta54_3a_alloc2.dzn","SATISFIED","601.585254797712","39955","44563","0.528256","1600","41505","25","0","43063","250","2816853475","20725","minimize","results","-4818","0","3108","465803","25","933656","63687","596.666","3.34069"
"Gecode_Decomp",".","jobshop_gini.mzn","new_dzn/mindis_ta72_6a_alloc3.dzn","SATISFIED","605.4156800638884","206561","218803","","4200","210661","","","","","","105200","minimize","results","1365","0","8241","","28","","","","15.2396"
"Gecode_Decomp",".","jobshop_gini.mzn","new_dzn/mindis_ta36_3a_alloc3.dzn","OPTIMAL_SOLUTION","52.39301342330873","14962","17737","0.199588","960","15892","15","0","16836","207","328505948","7935","minimize","results","0","0","1874","53479","15","108945","24711","50.4799","1.35287"
"Median_Gecode_Decomp",".","jobshop_gini.mzn","dzn/ta31_2a_alloc3.dzn","OPTIMAL_SOLUTION","7.506074473261833","14961","17728","0.216132","960","15891","86","0","16829","450","17029817","7935","minimize","results","-11297","0","1868","3332","86","23086","24702","5.31834","1.59793"
"Median_Gecode_BB",".","jobshop_gini.mzn","dzn/ta76_5a_alloc3.dzn","SATISFIED","605.9573191460222","206558","218768","","4200","210658","","","","","","105200","minimize","results","-2222","0","8210","","14","","","","15.2728"
"Gecode_Decomp",".","jobshop_gini.mzn","new_dzn/maxeff_ta46_2a_alloc2.dzn","OPTIMAL_SOLUTION","9.635753626003861","19907","23578","0.280567","1260","21137","91","0","22377","600","19540886","10560","minimize","results","-30823","0","2470","4142","91","28793","32877","7.15812","1.72665"
"Median_Gecode_BB",".","jobshop_gini.mzn","dzn/ta58_4a_alloc1.dzn","SATISFIED","601.7929744198918","39957","44566","0.620455","1600","41507","21","0","43066","223","2791533906","20725","minimize","results","-3291","0","3109","461637","21","925047","63690","596.521","3.48607"
"Gecode_BB",".","jobshop_gini.mzn","new_dzn/mindis_ta66_4a_alloc1.dzn","SATISFIED","601.9907128307968","53217","59325","0.734129","2100","55267","6","0","57325","359","4320241919","27600","minimize","results","175","0","4107","257456","6","516378","84824","595.692","4.31333"
"Median_Gecode_BB",".","jobshop_gini.mzn","dzn/ta79_10a_alloc2.dzn","SATISFIED","607.9944111444056","206583","218798","","4200","210683","","","","","","105200","minimize","results","-965","0","8215","","6","","","","17.474"
"Gecode_BB",".","jobshop_gini.mzn","new_dzn/mindis_ta33_2a_alloc1.dzn","OPTIMAL_SOLUTION","4.374480731785297","14962","17728","0.20669","960","15892","6","0","16828","193","18248791","7935","minimize","results","0","0","1865","2802","6","6350","24702","2.39501","1.41994"
"Gecode_Decomp",".","jobshop_gini.mzn","new_dzn/maxeff_ta65_5a_alloc1.dzn","OPTIMAL_SOLUTION","67.49912272766232","53218","59350","0.716442","2100","55268","228","0","57349","1000","174355752","27600","minimize","results","-49199","0","4131","18393","228","133386","84849","61.4039","4.24153"
"Gecode_Decomp",".","jobshop_gini.mzn","new_dzn/mindis_ta77_9a_alloc1.dzn","SATISFIED","605.7896919324994","206560","218847","","4200","210660","","","","","","105200","minimize","results","932","0","8286","","25","","","","15.4403"
"Median_Gecode_Decomp",".","jobshop_gini.mzn","dzn/ta50_3a_alloc1.dzn","OPTIMAL_SOLUTION","9.536328963935375","19908","23576","0.294519","1260","21138","68","0","22378","586","19522680","10560","minimize","results","-9706","0","2470","3585","68","24717","32875","6.98257","1.7512"
"Gecode_BB",".","jobshop_gini.mzn","new_dzn/maxeff_ta78_5a_alloc3.dzn","UNKNOWN","605.609122691676","206582","218792","","4200","210682","","","","","","105200","minimize","results","","0","8209","","0","","","","15.5969"
"Median_Gecode_BB",".","jobshop_gini.mzn","dzn/ta70_3a_alloc2.dzn","SATISFIED","602.4747158922255","53250","59358","0.810894","2100","55300","21","0","57358","278","2542916957","27600","minimize","results","-5613","0","4108","302418","21","606788","84857","595.277","4.73246"
"Gecode_BB",".","jobshop_gini.mzn","new_dzn/mindis_ta62_5a_alloc3.dzn","SATISFIED","602.0504653397948","53250","59359","0.789489","2100","55300","26","0","57359","359","4028774591","27600","minimize","results","201","0","4108","276930","26","559563","84858","595.7","4.30428"
"Gecode_Decomp",".","jobshop_gini.mzn","new_dzn/mindis_ta54_5a_alloc2.dzn","SATISFIED","601.5903110709041","39955","44586","0.541367","1600","41505","51","0","43085","240","2855019663","20725","minimize","results","727","0","3130","380981","51","768608","63710","596.752","3.25176"
"Median_Gecode_BB",".","jobshop_gini.mzn","dzn/ta76_7a_alloc1.dzn","SATISFIED","605.764264376834","206558","218770","","4200","210658","","","","","","105200","minimize","results","-2268","0","8212","","18","","","","17.1303"
"Gecode_BB",".","jobshop_gini.mzn","new_dzn/maxeff_ta55_4a_alloc2.dzn","OPTIMAL_SOLUTION","35.59073143452406","39956","44565","0.515159","1600","41506","182","0","43065","750","125411583","20725","minimize","results","-36869","0","3108","12601","182","86141","63689","31.0947","3.13452"
"Median_Gecode_Decomp",".","jobshop_gini.mzn","dzn/ta39_2a_alloc1.dzn","OPTIMAL_SOLUTION","6.363419581204653","14961","17728","0.210045","960","15891","76","0","16829","450","14330157","7935","minimize","results","-10790","0","1868","2873","76","19928","24702","4.33518","1.46518"
"Gecode_Decomp",".","jobshop_gini.mzn","new_dzn/mindis_ta39_3a_alloc1.dzn","OPTIMAL_SOLUTION","222.02617833204567","14961","17736","0.191975","960","15891","20","0","16835","209","1604189785","7935","minimize","results","0","0","1874","249472","20","501519","24710","220.089","1.40051"
"Gecode_BB",".","jobshop_gini.mzn","new_dzn/mindis_ta46_3a_alloc1.dzn","SATISFIED","600.7369595039636","19907","23574","0.275877","1260","21137","22","0","22374","301","4730863791","10560","minimize","results","119","0","2466","591517","22","1186794","32873","598.281","1.71841"
"Gecode_Decomp",".","jobshop_gini.mzn","new_dzn/mindis_ta71_8a_alloc1.dzn","SATISFIED","605.8215427082032","206561","218831","","4200","210661","","","","","","105200","minimize","results","645","0","8269","","10","","","","15.8884"
"Gecode_Decomp",".","jobshop_gini.mzn","new_dzn/maxeff_ta44_2a_alloc2.dzn","OPTIMAL_SOLUTION","11.750478627160192","19908","23579","0.260309","1260","21138","121","0","22378","600","29774109","10560","minimize","results","-30486","0","2470","6127","121","44167","32878","9.40481","1.64355"
"Gecode_BB",".","jobshop_gini.mzn","new_dzn/mindis_ta78_10a_alloc1.dzn","SATISFIED","605.9873564299196","206560","218774","","4200","210660","","","","","","105200","minimize","results","1287","0","8213","","9","","","","15.9394"
"Median_Gecode_BB",".","jobshop_gini.mzn","dzn/ta61_5a_alloc3.dzn","SATISFIED","601.8771165106446","53218","59328","0.704356","2100","55268","19","0","57328","283","2787970826","27600","minimize","results","-3911","0","4110","331073","19","664136","84827","595.858","4.14461"
"Gecode_BB",".","jobshop_gini.mzn","new_dzn/mindis_ta72_10a_alloc2.dzn","SATISFIED","605.566956365481","206561","218775","","4200","210661","","","","","","105200","minimize","results","2885","0","8213","","27","","","","15.1947"
"Median_Gecode_BB",".","jobshop_gini.mzn","dzn/ta38_3a_alloc3.dzn","SATISFIED","600.6384341865778","14962","17730","0.216389","960","15892","25","0","16830","230","4377433779","7935","minimize","results","-4984","0","1868","911973","25","1826246","24704","598.56","1.43921"
"Median_Gecode_Decomp",".","jobshop_gini.mzn","dzn/ta69_4a_alloc1.dzn","OPTIMAL_SOLUTION","29.98175053112209","53218","59327","0.77924","2100","55268","85","0","57330","735","53451314","27600","minimize","results","-12092","0","4112","5614","85","37512","84826","23.2716","4.53586"
"Gecode_Decomp",".","jobshop_gini.mzn","new_dzn/mindis_ta76_7a_alloc1.dzn","SATISFIED","605.6897964719683","206558","218813","","4200","210658","","","","","","105200","minimize","results","1235","0","8254","","46","","","","15.9642"
